,cefi_A,q_A,delta_J_liu,q_liu,cefi_svd,q_svd,cefi_B,q_B,subspace_dist,objective_gap
1995-03-07,0.10557510048745684,1,-0.00018028236737827052,28,0.38819455479317255,1,0.004937801734974573,14,1.4142101121319062,0.2826194543057157
1995-03-21,0.1331065476599011,1,0.0009544517965551502,27,0.39643588900182425,1,0.00354951571132317,25,1.4142113864659211,0.26332934134192315
1995-04-04,0.1362661068651106,1,0.0004614618135995313,28,0.3898116931204514,1,0.001501895914913745,28,1.4106416370612662,0.2535455862553408
1995-04-19,0.1526145572168398,1,0.0007477685543442192,24,0.40628043959150517,1,0.004484003962967498,18,1.3921631372440224,0.25366588237466536
1995-05-03,0.1626573396999507,1,5.101378114485966e-05,29,0.4307208610823134,1,0.00292647726216555,23,1.3835863146714598,0.26806352138236267
1995-05-17,0.18052108858660548,1,0.0013515295414109202,19,0.4262946788047315,1,0.011027680317483593,7,1.3917813691106853,0.245773590218126
1995-06-01,0.1641178575100025,1,0.0019820157338423794,12,0.4167949472352295,1,0.004404838452675433,12,1.3993756846487357,0.25267708972522696
1995-06-15,0.16733392046265472,1,0.000607276784248531,23,0.3847197741491494,1,0.004654052215751575,23,1.3992319472694263,0.21738585368649466
1995-06-29,0.13684369270767693,1,-0.000378964208293045,29,0.37989638017677557,1,0.033141427796680445,3,1.397461348963504,0.24305268746909864
1995-07-14,0.12602054882988878,1,0.0003899573198718753,28,0.4012325872431702,1,0.004762291472130864,10,1.38300889324327,0.2752120384132814
1995-07-28,0.12714910811345687,1,-0.001391967182682502,29,0.4169850365085578,1,0.002779739869112896,24,1.3847541741589064,0.2898359283951009
1995-08-11,0.11815811080382488,1,0.000854961651753916,28,0.39073448499683017,1,0.004961014759912133,13,1.3926796648991753,0.2725763741930053
1995-08-25,0.12735978283397953,1,-1.477795060854381e-05,27,0.39457792946720577,1,0.005543372699977289,18,1.3908296023976496,0.26721814663322624
1995-09-11,0.11268367244355496,1,0.0011318431655096828,24,0.37912466499430086,1,0.017881628717374448,4,1.3957891414663048,0.26644099255074594
1995-09-25,0.13452613582999573,1,0.0016279106088776113,28,0.38947915078525974,1,0.0015361241714458573,23,1.3782777433930744,0.254953014955264
1995-10-09,0.15562130262087281,1,0.00020583980655264345,27,0.3710662538953996,1,0.0020150841118202617,19,1.373954886770064,0.21544495127452679
1995-10-23,0.15851820844224596,1,0.0023618649698380345,28,0.3625065924840414,1,0.005418067732412629,19,1.3540053060297725,0.20398838404179542
1995-11-06,0.20045403140705556,1,0.0005551042092251796,29,0.339187739149147,1,0.0007347638548310248,28,1.334156324303111,0.13873370774209146
1995-11-20,0.18471984248388756,1,0.0006024677904469811,27,0.3377349748354772,1,0.006223885903470117,17,1.3537000655485243,0.15301513235158964
1995-12-05,0.19425305501808826,1,-0.0006057167615471926,29,0.3121913328209966,1,0.018941945340004276,11,1.3505386672413584,0.11793827780290833
1995-12-19,0.2113374077151447,1,0.0004105025461197953,29,0.31083426212209553,1,5.300003852931612e-05,29,1.3503864516946849,0.09949685440695083
1996-01-04,0.1740096968416719,1,-0.0010658817530398018,28,0.30754842779010927,1,0.0022932005169968295,28,1.4044002905378448,0.13353873094843738
1996-01-18,0.16032090676111757,1,-6.067695879907742e-07,29,0.3004052392771365,1,0.0018679817441222268,29,1.4139548976026926,0.14008433251601896
1996-02-01,0.1752762090454785,1,-0.00045541546279555256,29,0.3051793307012342,1,5.201232350637852e-05,28,1.4142017833678153,0.1299031216557557
1996-02-15,0.16925513660312586,1,-0.0011499655009470089,29,0.29998213900729787,1,0.0016655820262329313,23,1.4119716311662196,0.130727002404172
1996-03-01,0.17794812503553353,1,0.00043552358521657675,27,0.308495483397621,1,0.0018690543240991314,27,1.3677275792003445,0.13054735836208747
1996-03-15,0.18880389932705371,1,6.704369069632232e-05,28,0.3036876715537836,1,0.001399803343249545,27,1.3579677071819956,0.11488377222672991
1996-03-29,0.1769989988186651,1,-0.0003205338528327606,28,0.30591077182833065,1,9.980483962000741e-05,21,1.3635996711310228,0.12891177300966555
1996-04-15,0.24759307571501837,1,-9.07376079165717e-05,27,0.323029159092136,1,0.0025993826129842856,27,1.4033530836587078,0.0754360833771176
1996-04-29,0.2689406589118901,1,0.004624324697997631,15,0.31839071450704465,1,0.010276348603201604,15,1.3588625734572408,0.04945005559515453
1996-05-13,0.266925563248197,1,-6.516464431297053e-05,27,0.31675901196246387,1,0.001152685914800916,22,1.3454396548496406,0.04983344871426687
1996-05-28,0.2682136955698803,1,0.0006334821596585966,24,0.3268787744568586,1,0.007137186090755643,15,1.4136302316773284,0.058665078886978306
1996-06-11,0.27149619650530055,1,-8.506035658467637e-07,25,0.3090309086849449,1,0.017337228889081777,4,1.3841202462117455,0.03753471217964438
1996-06-25,0.25979654882569786,1,-0.00026130339097089894,25,0.31390288000196603,1,0.0029650687759892602,25,1.3598460546928275,0.054106331176268174
1996-07-10,0.21380670738940866,2,-0.00112465546731072,25,0.310890487541763,1,-0.0009510531592184929,25,1.911136523893237,0.08837101103704348
1996-07-24,0.24967760163989744,1,0.0006164266921914185,29,0.3148757842565437,1,0.0035351236559951482,16,1.3924931503187719,0.06519818261664628
1996-08-07,0.26017496614585534,1,0.0011687885637036155,28,0.3285965207504306,1,0.0019002575834959762,23,1.391336370104906,0.06842155460457527
1996-08-21,0.25341911652626886,1,0.0004855864734680665,23,0.3328020173994567,1,0.0036603222218541814,23,1.3941691987733191,0.07938290087318783
1996-09-05,0.26330954320113,1,-0.00041363409261063744,24,0.3290305880630182,1,0.0011403349505466759,11,1.3999894122552532,0.06572104486188823
1996-09-19,0.26631146374782255,1,8.28916968287352e-05,28,0.3317460787700889,1,0.0016158251241158855,20,1.414047749117376,0.06543461502226633
1996-10-03,0.2567019858781919,1,-0.00041282636741143963,29,0.3335210069408909,1,0.0003618653834737695,24,1.412478954990983,0.076819021062699
1996-10-17,0.24943522279315183,1,7.419500283807612e-05,29,0.32848701323467905,1,0.0011731277114808147,29,1.4111441717016404,0.07905179044152721
1996-10-31,0.23414957790507906,1,-8.615649361831679e-06,28,0.3235149144078534,1,4.9427478799712876e-05,29,1.4141927985933656,0.08936533650277434
1996-11-14,0.19308940001401295,1,-1.4426396890837578e-06,28,0.306095054287614,1,0.003561067111926372,18,1.4022819465736605,0.11300565427360107
1996-11-29,0.18385484255737522,1,-0.00018699857679498055,29,0.29379723356127957,1,0.0057938058067831255,15,1.3950952280462026,0.10994239100390435
1996-12-13,0.22296271317890193,1,0.0019942123236665055,28,0.30675682570502294,1,0.0031823891034735846,28,1.4015125658286662,0.08379411252612101
1996-12-30,0.24410478110530381,1,0.0005184160056666831,28,0.30300779809981643,1,0.001336739232425846,29,1.3999964942472372,0.058903016994512614
1997-01-14,0.23419409354049323,1,0.0002268056622728859,24,0.32530033409027836,1,0.0006293547900575458,29,1.4119524509458958,0.09110624054978514
1997-01-28,0.21345260834453555,1,-0.00018563999037365941,29,0.3176396920773617,1,0.0024076678148551994,18,1.4102028403004399,0.10418708373282615
1997-02-11,0.23099699923504793,1,-7.056119083599655e-05,26,0.3239013996119424,1,0.0011268914455947049,27,1.4076043834964354,0.09290440037689449
1997-02-26,0.19839505646055003,1,-0.0003762309520449203,28,0.3338553300639545,1,0.0029777222431971173,18,1.3988338645379768,0.13546027360340449
1997-03-12,0.18814538614395798,2,9.073635089729137e-05,22,0.31621467961192373,1,0.002868005932268783,22,1.9290645262014976,0.10287706864426927
1997-03-26,0.19408421796257824,1,0.00087864752935507,25,0.2653517250864247,1,0.0048998667820513014,25,1.4141986622683207,0.07126750712384644
1997-04-10,0.24413624604949152,1,0.0003275982755974183,27,0.28170288371152497,1,0.00195541560148306,28,1.396559947340322,0.03756663766203344
1997-04-24,0.2954911327424957,1,0.001728738502351987,22,0.3034972079801638,1,0.00543209811061407,22,1.3955165841425075,0.008006075237668053
1997-05-08,0.3083298585507294,1,0.00045492446145338483,29,0.29765103768346945,1,0.0032665549253295817,23,1.3828328665139817,0.010678820867259964
1997-05-22,0.2969464257050724,1,-0.001307117211723538,29,0.27985488305479395,1,0.002918332225785941,27,1.3596375135780363,0.017091542650278457
1997-06-06,0.30504000993717156,1,0.00031575248898745023,28,0.3071909294002329,1,0.001672406564600576,28,1.375015800959896,0.0021509194630613404
1997-06-20,0.28824225923710883,1,-0.0004783324911872,29,0.31580840967344753,1,-0.0006094996206582048,29,1.3873368647281248,0.0275661504363387
1997-07-07,0.24092883007784577,1,-0.000729139491436992,29,0.317248087190565,1,0.0013637177487817453,28,1.4141847376307903,0.07631925711271925
1997-07-21,0.21098153203481418,1,0.0008236476716369789,26,0.311151389295435,1,0.00036443366590555026,26,1.406889238194867,0.10016985726062083
1997-08-04,0.2557348378368887,1,0.0001777004271423105,29,0.31646932269436767,1,0.004211287186737536,22,1.4095143965397068,0.060734484857478954
1997-08-18,0.2664629165914254,1,-0.0019091798103787055,26,0.332818839256221,1,0.001636340904668146,26,1.409029100163814,0.06635592266479562
1997-09-02,0.2606850455629832,1,-0.0004142151221866036,27,0.31576527459027737,1,0.004099261537735002,11,1.4067770376134978,0.05508022902729415
1997-09-16,0.2626661595293142,1,-0.0006886167415522393,29,0.3210174955121132,1,0.012537014289700152,14,1.3750350257596218,0.05835133598279901
1997-09-30,0.2591692370775016,1,0.000254839914168567,27,0.3300248515109864,1,0.005511462863318148,21,1.3559560858385147,0.07085561443348476
1997-10-14,0.2563076993965528,1,-0.00014758306901131724,6,0.3225922912298612,1,0.046027509755279056,6,1.4119825898848117,0.06628459183330843
1997-10-28,0.33641230092508556,1,0.0006625586601248928,25,0.3596886980565691,1,0.00985713763387873,14,1.4142073714048902,0.02327639713148355
1997-11-11,0.3217298724818943,1,0.0014553591353343998,6,0.3481821333730696,1,0.027586902045894632,8,1.4103725251959642,0.026452260891175305
1997-11-25,0.3317072803030505,1,-0.0004466520107136579,23,0.36272651037476966,1,0.012822568299461726,16,1.4141563264645503,0.03101923007171914
1997-12-10,0.34000221730042074,1,0.00011555506090669965,29,0.3736578523031802,1,0.009756542771451826,11,1.4123669328522201,0.033655635002759476
1997-12-24,0.3538561896059512,1,0.009319247929640562,2,0.36413614811381495,1,0.018977995474255355,7,1.4119712210672573,0.010279958507863729
1998-01-09,0.37302593868132305,1,0.0032550286107638216,22,0.36644235424691474,1,0.016776591298321153,7,1.4119827739928228,0.006583584434408318
1998-01-26,0.36900622322672494,1,0.00013356841053913104,14,0.39812956484866596,1,0.012094147194454119,13,1.4123057945675208,0.029123341621941023
1998-02-09,0.3907348841896292,1,0.00021368950008558707,20,0.3837691191405759,1,0.04454200936297592,7,1.4123138354177263,0.00696576504905333
1998-02-24,0.3592393272916966,1,0.003203331474242496,16,0.3770228038350816,1,0.015503428214150072,16,1.4141737358471687,0.01778347654338497
1998-03-10,0.32506594806150146,1,-3.757149108885027e-05,29,0.3381251813141286,1,0.01584524276947813,11,1.4007453299005865,0.013059233252627145
1998-03-24,0.33169996697886306,1,0.00023065072717541601,28,0.3851972297613026,1,0.009370896946426954,9,1.3972283625131217,0.05349726278243955
1998-04-07,0.28507922854181733,1,-0.0005934935245345968,28,0.34944606989291727,1,0.003582038609980645,10,1.3872339982009378,0.06436684135109993
1998-04-22,0.28905395977236725,1,0.00024463910404395883,25,0.35837344987908315,1,0.037101603771686975,8,1.3791769451268971,0.0693194901067159
1998-05-06,0.30995858708314583,1,0.00043526386586136,28,0.3641213201717085,1,0.005414849728250987,12,1.3791145104058498,0.054162733088562676
1998-05-20,0.3036546286326317,1,0.008460698791162471,11,0.3566424059627905,1,0.03248386069446027,11,1.3727946964565547,0.0529877773301588
1998-06-04,0.30112526001914725,1,9.718738453443065e-06,27,0.3563185800775528,1,0.009676940484217952,8,1.372662779145483,0.05519332005840555
1998-06-18,0.30897086907459637,1,0.0009337024419671519,29,0.3291646859667977,1,0.0011735240079880638,29,1.3807177555154926,0.020193816892201344
1998-07-02,0.3001562577966293,1,0.0006032190875511628,25,0.36144079136717777,1,0.0042324194257510606,22,1.4044119636542969,0.06128453357054847
1998-07-17,0.2742280435615576,1,0.0015646292717521187,28,0.3425129849814563,1,0.007171428446419714,11,1.4031125107806077,0.06828494141989871
1998-07-31,0.32626299856382096,1,0.00874420068486087,9,0.3518153817422893,1,0.00886843585153689,9,1.4086367894386074,0.025552383178468363
1998-08-14,0.37374313905353373,1,0.0013119726258580267,19,0.36626639325970106,1,0.037176578764941445,6,1.407482860472864,0.007476745793832673
1998-08-28,0.43922243276483053,1,0.006937303436112444,1,0.3425919685970797,1,0.009007057200145455,23,1.4141917090500178,0.09663046416775084
1998-09-14,0.4449520940650597,1,0.0015639020799558118,26,0.33887632997886846,1,0.029705849948446814,10,1.3859994251497938,0.10607576408619124
1998-09-28,0.4530560308065495,1,0.0013080204218121894,28,0.37322904063383955,1,0.02114160939698495,7,1.3862736344487616,0.07982699017270994
1998-10-12,0.5400583315775783,1,0.0265580055297652,1,0.48500830678707063,1,0.05601963542249638,5,1.3298644478145583,0.05505002479050769
1998-10-26,0.473144462972212,1,0.0038080061544052968,20,0.39681057233009687,1,0.03395908323434521,7,1.3951606424598475,0.07633389064211515
1998-11-09,0.46467579660383607,1,0.007523912537645477,15,0.4099231730265286,1,0.026113931303496513,15,1.3741790769994149,0.05475262357730748
1998-11-23,0.45928770692895615,1,0.005322198616418583,23,0.45065484555890095,1,0.03888024936912904,9,1.405319104333873,0.0086328613700552
1998-12-08,0.3838708016454869,1,0.010788488973621002,14,0.431898960432487,1,0.09283480923366746,5,1.412162121304181,0.048028158787000064
